D_TEXT_TOOLTIP_DRAGON_TROOPER,Primitive reptiloid warriors fiercely loyal to Delurin and equipped with ornate metal armor and flamethrowers to more closely resemble the Dragons of ancient myth. Unacquainted with blaster weaponry and other advanced technology, they are nonetheless resilient and quick on their feet.
D_TEXT_TOOLTIP_DRAGON_TROOPER_COMPANY,Company: 36x Dragon Trooper
TEXT_STATBLOCK_REPUBLICTIE_SQUADRON,Squadron: 12x T.I.E. Starfighter
TEXT_STATBLOCK_REPUBLICTIE_SQUADRON_DOUBLE,Squadron: 24x T.I.E. Starfighter
TEXT_STATBLOCK_REPUBLICTIE_SQUADRON_HALF,Squadron: 6x T.I.E. Starfighter
TEXT_STATBLOCK_REPUBLICTIE_WEAP1,1x Fighter Laser Cannon: 4 / 2.0s / 1.0km
TEXT_STATBLOCK_REPUBLICTIE_WEAP2,1x Fighter Concussion Missile: 1 / 75.0s / 1.8km
TEXT_STATBLOCK_TIE_DEFENDER_RED_STAR_MOVE,Speed: 8.66 | Maneuverability: 5.5
TEXT_STATBLOCK_TIE_FIGHTER_BF2_SQUADRON,12x TIE Fighter Carrier Duty Refit
TEXT_STATBLOCK_TIE_FIGHTER_BF2_SQUADRON_DOUBLE,24x TIE Fighter Carrier Duty Refit
TEXT_STATBLOCK_TIE_FIGHTER_BF2_SQUADRON_HALF,6x TIE Fighter Carrier Duty Refit
TEXT_STATBLOCK_TIE_FIGHTER_BF2_SQUADRON_THIRD,4x TIE Fighter Carrier Duty Refit
TEXT_STATBLOCK_TIE_FIGHTER_BF2_WEAP2,1x Fighter Proton Torpedo: 1 / 50.0s / 1.8km
TEXT_STATBLOCK_TIE_FIGHTER_MISSILE_WEAP2,1x Fighter Concussion Missile: 1 / 75.0s / 1.8km
TEXT_STATBLOCK_TIE_INTERCEPTOR_ION_SQUADRON,Squadron: 12x Ion Refit TIE Interceptor
TEXT_STATBLOCK_TIE_INTERCEPTOR_ION_SQUADRON_DOUBLE,Squadron: 24x Ion Refit TIE Interceptor
TEXT_STATBLOCK_TIE_INTERCEPTOR_ION_SQUADRON_HALF,Squadron: 6x Ion Refit TIE Interceptor
TEXT_STATBLOCK_TIE_INTERCEPTOR_ION_WEAP1,1x Fighter Ion Cannon: 8 / 3.0s / 1.0km
TEXT_STATBLOCK_TIE_INTERCEPTOR_ION_WEAP2,1x Fighter Ion Cannon: 2 / 2.0s / 1.0km
TEXT_TIE_FIGHTER_BF2_SQUADRON,TIE Fighter Carrier Duty Refit Squadron
TEXT_TIE_FIGHTER_BF2_SQUADRON_HALF,TIE Fighter Carrier Duty Refit Squadron 1/2
TEXT_TIE_FIGHTER_BF2_SQUADRON_THIRD,TIE Fighter Carrier Duty Refit Squadron 1/3
TEXT_TIE_FIGHTER_BF2_SQUADRON2,TIE Fighter Carrier Duty Refit Squadron x2
TEXT_TIE_INTERCEPTOR_ION_SQUADRON,Ion Refit TIE Interceptor Squadron
TEXT_TIE_INTERCEPTOR_ION_SQUADRON_HALF,Ion Refit TIE Interceptor Squadron 1/2
TEXT_TIE_INTERCEPTOR_ION_SQUADRON2,Ion Refit TIE Interceptor Squadron x2
TEXT_TOOLTIP_ACCLAMATOR_BATTLESHIP,Larger of the designs which were concieved as a bigger and individually better form of the succesful Acclamator-class Assault Ships. This borderline battleship form remains well armed and is notably more durable than other classes in its lineage, but lacks the flexibility and ruggedness of designs pushed out by parent company Kuat Drive Yards, resulting in significantly lower production and popularity.
TEXT_TOOLTIP_ACCLAMATOR_BATTLESHIP_HULL,Hull: 7500 (Capital)
TEXT_TOOLTIP_ACCLAMATOR_BATTLESHIP_MOVE,Speed: 4.55 | Accel: 0.2 | Turn: 0.35
TEXT_TOOLTIP_ACCLAMATOR_BATTLESHIP_SHIELD,Shields: 7000 / [35/R] (Capital)
TEXT_TOOLTIP_ACCLAMATOR_BATTLESHIP_SQUADRON,Fighters: 3 / 7 | Bombers: 1 / 2
TEXT_TOOLTIP_ACCLAMATOR_BATTLESHIP_WEAP1,2x Heavy Quad Turbolasers: 2 / 5.0s / 7.4km
TEXT_TOOLTIP_ACCLAMATOR_BATTLESHIP_WEAP2,8x Heavy Dual Turbolasers: 2 / 3.33s / 7.4km
TEXT_TOOLTIP_ACCLAMATOR_BATTLESHIP_WEAP3,4x Medium Turbolasers: 2 / 1.67s / 6.4km
TEXT_TOOLTIP_ACCLAMATOR_BATTLESHIP_WEAP4,4x Light Dual Laser Cannons: 2 / 0.38s / 3.9km
TEXT_TOOLTIP_ACCLAMATOR_BATTLESHIP_WEAP5,4x Light Proton Torpedoes: 4 / 15.0s / 5.4km
TEXT_TOOLTIP_ACCLAMATOR_DESTROYER,A fast destroyer-weight design based on the successful Acclamator series of vessels, produced after the battle of Geonosis. Like other ships in the family, it is well armed and capable of inflicting heavy damage to any target type with an impressive warhead battery. A lack of durability for the size is also shared, and the vessel will never become remotely as popular or widespread as larger designs by the parent company or competitors.
TEXT_TOOLTIP_ACCLAMATOR_DESTROYER_HULL,Hull: 5890 (Heavy Frigate)
TEXT_TOOLTIP_ACCLAMATOR_DESTROYER_MOVE,Speed: 4.9 | Accel: 0.2 | Turn: 0.4
TEXT_TOOLTIP_ACCLAMATOR_DESTROYER_SHIELD,Shields: 4200 / [31.5/R] (Heavy Frigate)
TEXT_TOOLTIP_ACCLAMATOR_DESTROYER_SQUADRON,Fighters: 2 / 6 | Bombers: 2 / 6
TEXT_TOOLTIP_ACCLAMATOR_DESTROYER_WEAP1,4x Light Quad Turbolasers: 2 / 1.67s / 5.3km
TEXT_TOOLTIP_ACCLAMATOR_DESTROYER_WEAP2,2x Heavy Laser Cannons: 2 / 0.42s / 4.8km
TEXT_TOOLTIP_ACCLAMATOR_DESTROYER_WEAP3,8x Assault Concussion Missiles: 8 / 20.0s / 7.3km
TEXT_TOOLTIP_ACCLAMATOR_DESTROYER_WEAP4,2x Proton Torpedoes: 2 / 7.5s / 5.3km
TEXT_TOOLTIP_ACCLAMATOR_I_SUPPORT,The end of the Clone Wars saw an explosion in demand for cargo ships and freighters, alongside a post-war surplus of previously mass-produced Acclamators that were no longer needed in peacetime. Thus the remaining military Acclamators were widely converted into cargo ships to meet this new demand, repurposing the vehicle bay into a large cargo bay.
TEXT_TOOLTIP_ACCLAMATOR_I_SUPPORT_HULL,Hull: 1925 (Frigate)
TEXT_TOOLTIP_ATAT_IC,The Ion refit Imperial AT-AT was an uncommon variation that replaced it's super heavy laser cannons with heavy ion cannons. Although ion cannons were rarely found aboard ground vehicles, some minor warlords converted a small number of its All Terrain Armored Transport fleet into mobile, ion cannons. The warlords deployed the All Terrain Ion Cannon for the mobile defense of strategic locations, though less effectively than the more heavily modified AT-IC.
TEXT_TOOLTIP_ATAT_IC_WEAP1,1x Super Heavy AV Ion Cannon: 4 / 2.0s / 480m
TEXT_TOOLTIP_ATKT,
TEXT_TOOLTIP_ATKT_HEALTH,Health: 155 (Light Vehicle)
TEXT_TOOLTIP_ATKT_MOVE,Speed: 1 | Turn: 4.0 
TEXT_TOOLTIP_ATKT_WEAP1,2x Heavy AI Blaster Cannon (AOE): 4 / 1.0s / 320m
TEXT_TOOLTIP_ATKT_WEAP2,1x FC-1 Flechette Launcher (AI): 1 / 10.0s / 240m
TEXT_TOOLTIP_ATOT,Troop walker developed during the Clone Wars to bring a larger amount of troops into the battlefield than other Republic walkers. While best known as open-topped for behind-lines use, an armored cover is applied for combat or more varied environmental conditions. Able to deploy infantry.
TEXT_TOOLTIP_ATOT_COMPANY,Company: 2x AT-OT Walker
TEXT_TOOLTIP_ATOT_DEPLOY,Deploys: 1x Dragon Trooper Pack
TEXT_TOOLTIP_ATOT_HEALTH,Health: 400 (Heavy Vehicle)
TEXT_TOOLTIP_ATOT_MOVE,Speed: 0.75 | Turn: 2.5
TEXT_TOOLTIP_ATOT_WEAP1,2x AV Blaster Cannons: 1 / 2.0s / 320m
TEXT_TOOLTIP_ATOT_WEAP2,2x Light AI Blaster Cannons: 5 / 2.5s / 320m
TEXT_TOOLTIP_ATXT,Light walker produced early in the Clone Wars as an AT-RT counterpart. Unlike most walkers has shielding for extra protection, but is also slowed down by the assorted systems and poor leg design compared to other light walkers. Quickly phased out in favour of other Republic light vehicles. Best used to engage enemy light vehicles.
TEXT_TOOLTIP_ATXT_COMPANY,Company: 4x AT-XT Walker
TEXT_TOOLTIP_ATXT_HEALTH,Health: 125 (Light Vehicle)
TEXT_TOOLTIP_ATXT_MOVE,Speed: 0.75 | Turn: 4.0 
TEXT_TOOLTIP_ATXT_SHIELD,Shields: 50 / [5/R] (Light Vehicle)
TEXT_TOOLTIP_ATXT_WEAP1,1x Light AV Blaster Cannon: 4 / 2.0s / 320m
TEXT_TOOLTIP_ATXT_WEAP2,2x Proton Grenades: 1 / 6.0s / 400m
TEXT_TOOLTIP_AV7,A light, self-propelled artillery unit that saw extensive GAR use. Later guns in the series used a towed configuration, but this model uses a combination of repulsorlifts and legs for mobility and stability while firing.
TEXT_TOOLTIP_AV7_COMPANY,Company: 1x AV-7 Antivehicle Cannon
TEXT_TOOLTIP_AV7_HEALTH,Health: 50 (Heavy Vehicle)
TEXT_TOOLTIP_AV7_MOVE,Speed: 1.0 | Turn: 1.0 
TEXT_TOOLTIP_AV7_WEAP1,1x Artillery Cannon: 1 / 8.333s / 1440m
TEXT_TOOLTIP_BRAK_FIGHTERS_RESEARCH,Upgrade the aging fighters of the Brak Sector Fleet with newer, more powerful models procured from Sienar despite ongoing difficulties. Phases out Cloakshape, Warpod, TIE/ln and TIE/gt fighters, pushes V-Wings, ARC-170s and NTB-630s into support roles, and adds various TIE Interceptor, TIE Advanced and TIE Defender models to serve as top-end models. Due to the situation in the galaxy, this process will be expensive and time consuming, but Admiral Trier assures us that it will be worth it.
TEXT_TOOLTIP_BRELLAR,Alecs Brellar served as captain of the Onslaught. He was sent to Bakura to bring the system under Imperial control, and later presented Wilek Nereus with the official badges of office as Bakura's governor, amid anti-Imperial protests.
TEXT_TOOLTIP_BUILDLIMIT_BISCUIT_BARON,Build Limit: 1 | Total: ∞
TEXT_TOOLTIP_CAPITAL_TF1,TIE Interceptor Squadron: 1 / ∞
TEXT_TOOLTIP_CAPITAL_TF2,Missile TIE Interceptor Squadron: 1 / ∞
TEXT_TOOLTIP_CAPITAL_TF3,Upgunned TIE Interceptor Squadron: 1 / ∞
TEXT_TOOLTIP_CAPITAL_TF4,Ion Refit TIE Interceptor Squadron: 1 / ∞
TEXT_TOOLTIP_CAPITAL_TF5,TIE Oppressor Squadron: 2 / 10
TEXT_TOOLTIP_CAPITAL_TF6,Raider-I Corvette: 4 / 0
TEXT_TOOLTIP_CAPITAL_TF7,Raider-II Corvette: 4 / 0
TEXT_TOOLTIP_CAPITAL_TF8,Procursator Star Destroyer: 2 / 0
TEXT_TOOLTIP_CAPITAL_TF9,Victory-II Star Destroyer: 2 / 0
TEXT_TOOLTIP_CLONE_P2_COMMANDER_HEALTH,Health: 200 (Infantry)
TEXT_TOOLTIP_CLONE_P2_COMPANY,Company: 36x Republic Surplus Troopers
TEXT_TOOLTIP_CLONE_P2_COMPANY_WEAP1,10x Blaster Rifle: 1 / 1.0s / 240m
TEXT_TOOLTIP_CLONE_P2_COMPANY_WEAP2,10x Blaster Carbine: 3 / 1.25s / 220m
TEXT_TOOLTIP_CLONE_P2_COMPANY_WEAP3,2x Heavy Repeating Blaster: 5 / 1.0s / 280m
TEXT_TOOLTIP_CLONE_P2_COMPANY_WEAP4,6x Light Repeating Blaster: 5 / 1.0s / 240m
TEXT_TOOLTIP_CLONE_P2_COMPANY_WEAP5,4x Heavy AV Missile Launcher: 1 / 9.0s / 320m
TEXT_TOOLTIP_CLONE_P2_COMPANY_WEAP6,4x Light AV Missile Launcher: 1 / 9.0s / 280m
TEXT_TOOLTIP_CLONE_P2_COMPANY_WEAP7,4x Concussion Grenade: 1 / 15.0s / 200m
TEXT_TOOLTIP_CLONE_P2_COMPANY_WEAP8,4x Ion Grenade: 1 / 15.0s / 200m
TEXT_TOOLTIP_CLONE_P2_HEALTH,Health: 20 (Infantry)
TEXT_TOOLTIP_CLONE_P2_LT_HEALTH,Health: 33 (Infantry)
TEXT_TOOLTIP_CLONE_P2_MOVE,Speed: 1.1
TEXT_TOOLTIP_CLONE_P2_SGT_HEALTH,Health: 23 (Infantry)
TEXT_TOOLTIP_CLONE_P2_SQUAD,Squad: 9x Clone Trooper (P2)
TEXT_TOOLTIP_CLONE_P2_SQUAD1_WEAP1,5x Blaster Carbine: 3 / 1.25s / 220m
TEXT_TOOLTIP_CLONE_P2_SQUAD1_WEAP2,2x Light Repeating Blaster: 5 / 1.0s / 240m
TEXT_TOOLTIP_CLONE_P2_SQUAD1_WEAP3,2x Light AV Missile Launcher: 1 / 9.0s / 280m
TEXT_TOOLTIP_CLONE_P2_SQUAD1_WEAP4,2x Ion Grenade: 1 / 15.0s / 200m
TEXT_TOOLTIP_CLONE_P2_SQUAD2_WEAP1,5x Blaster Rifle: 1 / 1.0s / 240m
TEXT_TOOLTIP_CLONE_P2_SQUAD2_WEAP2,1x Heavy Repeating Blaster: 5 / 1.0s / 280m
TEXT_TOOLTIP_CLONE_P2_SQUAD2_WEAP3,1x Light Repeating Blaster: 5 / 1.0s / 240m
TEXT_TOOLTIP_CLONE_P2_SQUAD2_WEAP4,2x Heavy AV Missile Launcher: 1 / 9.0s / 320m
TEXT_TOOLTIP_CLONE_P2_SQUAD2_WEAP5,2x Concussion Grenade: 1 / 15.0s / 200m
TEXT_TOOLTIP_CLONE_WEAP1,1x DC-15A Blaster Rifle: 1 / 1.0s / 240m
TEXT_TOOLTIP_CLONE_WEAP2,1x DC-15S Blaster Carbine: 3 / 1.25s / 220m
TEXT_TOOLTIP_CLONE_WEAP3,1x Light Z-6 Blaster Cannon: 5 / 1.0s / 240m
TEXT_TOOLTIP_CLONE_WEAP4,1x Heavy Z-6 Blaster Cannon: 5 / 1.0s / 280m
TEXT_TOOLTIP_CLONE_WEAP5,1x RPS-6 Rocket Launcher: 1 / 9.0s / 280m
TEXT_TOOLTIP_CLONE_WEAP6,1x PLX-1 Rocket Launcher: 1 / 9.0s / 320m
TEXT_TOOLTIP_CLONE_WEAP7,1x T-21 Repeating Blaster: 5 / 1.0s / 240m
TEXT_TOOLTIP_CLONE_WEAP8,1x Concussion Grenade: 1 / 15.0s / 200m
TEXT_TOOLTIP_CLONE_WEAP9,1x Ion Grenade: 1 / 15.0s / 200m
TEXT_TOOLTIP_CLONETROOPER_PHASETWO,Imperial hardliners that have joined Devian's cause to restore the true Empire. They are well equipped with old Republic armor gathered on RZ7, and more fanataical than most other soldiers. They wear a mix of the old Phase I and more comfortable Phase II armor.
TEXT_TOOLTIP_COMMAND_ONSLAUGHT,Imperial-I Star Destroyer, Onslaught
TEXT_TOOLTIP_COMMAND_REBUKE,Acclamator-I Supercruiser, Rebuke
TEXT_TOOLTIP_COMMAND_RED_STAR_SQUADRON,Modified TIE Defender, Red Star Squadron
TEXT_TOOLTIP_COMMAND_RINTONNES_FLAME,Vigil Corvette, Rintonne's Flame
TEXT_TOOLTIP_CONSULAR_HULL,Hull: 550 (Corvette)
TEXT_TOOLTIP_CONSULAR_MOVE,Speed: 6.65 | Accel: 0.25 | Turn: 0.65
TEXT_TOOLTIP_CONSULAR_REFIT,A common armed configuration for the Consular cruiser, equipped with turbolasers and missiles to engage other large ships rather than emphasizing a fighter screening role.
TEXT_TOOLTIP_CONSULAR_REFIT_WEAP1,4x Light Turbolasers: 1 / 5.0s / 5.0km
TEXT_TOOLTIP_CONSULAR_REFIT_WEAP2,1x Assault Concussion Missile: 2 / 10.0s / 7.0km
TEXT_TOOLTIP_CONSULAR_SHIELD,Shields: 400 / [8/R] (Corvette)
TEXT_TOOLTIP_DOMINA_TAGGE,The youngest child of Sanya Tagge, Domina was sent away by her oldest brother Orman at a young age to shield her from galactic politics, but during the Galactic Civil War she was nonetheless drawn into TaggeCo's machinations, eventually seeking revenge on both Darth Vader and Luke Skywalker after the death of Orman and Silas Tagge. Following the Battle of Endor, Domina took the title of Baroness Tagge and largely retreated from galactic affairs, vanishing at an unspecified later date under mysterious circumstances.
TEXT_TOOLTIP_ETA2,A Kuat-designed interceptor that shares traits with the Sienar TIE line. Its stripped-down defenses allow for very impressive flight performance at the cost of durability, with weapon systems that allow it to excel against heavier fighters.
TEXT_TOOLTIP_H60,A predecessor design to the famous B-wing of the Rebellion, the Tempest bomber was designed in the waning years of the Republic. Its design contained promise but it was heavily flawed and unpopular due to its limitations and its strange design compared to the Galactic standard. Despite this unpopularity, Tempests would see some service during its life in less wealthy navies where something is better than nothing.
TEXT_TOOLTIP_INCOME_BISCUIT_BARON,Credit Income: +20%
TEXT_TOOLTIP_IRAN_RYAD,Countess Iran Ryad was a human Imperial politician and later starfighter ace. Ryad's political position helped establish wealth and influence; over time she developed an interest in starfighters and eventually used her connection to take up starfighter pilot training. Following the events at Endor, Ryad would requisition a TIE Defender to serve as her personal starfighter 'Red Star 1' and modify its capabilities and appearance. In time, Ryad became a starfighter ace and would form her own squadron known as Red Star Squadron, which went onto hunt any starships that entered Imperial space without permission; her actions led to her being accused of treason and eventually defeated by Soontir Fel.
TEXT_TOOLTIP_IRAN_RYAD,Countess Iran Ryad was a human politician who used her wealth and influence to indulge her interest in starfighters and eventually used her connections to take up pilot training. Following the events at Endor, Ryad would requisition a TIE Defender to serve as her personal starfighter 'Red Star 1' and modify its capabilities and appearance. In time, Ryad became a starfighter ace and would form her own squadron, known as Red Star Squadron, which went on to hunt any starships that entered Imperial space without permission; her actions led to her being accused of treason and eventually defeated by Soontir Fel.
TEXT_TOOLTIP_IRRV,Dimone Irrv was the ranking TaggeCo representative on Goroth Prime. A competent manager and administrator by all accounts, she was also more than capable of engaging in corporate maneuvering, making her one of the most noteworthy managers in the employ of the Tagge Family.
TEXT_TOOLTIP_JUGGERNAUT_A4_COMPANY,Company: 1x A4 Juggernaut
TEXT_TOOLTIP_KLEMP,Klemp was an Imperial Officer of low rank, despite this he became one of the leaders of the Restored Empire by 13 ABY. He complimented Kir Kanos during his visit to RZ7-6113-23 which caused General Vota to rebuke him.
TEXT_TOOLTIP_LAAT_IMPERIAL,A modified variant of the common LAAT/i specifically designed for special operations and ISB enforcement actions. Features a black paintjob for intimidation and an enhanced EW suite, but otherwise has the same capabilities as the stock version. It also inherits the maintenance requirements of the base model, leading to it being largely confined to special forces use, with the IDT and MAAT being far more common in frontline military service.
TEXT_TOOLTIP_LAAT_IMPERIAL_COMPANY,Company: 1x Imperial Spec Ops Gunship
TEXT_TOOLTIP_LAC,A semi-standard version of a modified CEC Consular-class cruiser that has long been popular with Republic Judicial Forces, serving in the Stark Hyperspace War and the Yinchorri Uprising. This specific configuration is excellent for anti-starfighter escort duty while other corvette models are more suited to missile loadouts or attacking larger ships.
TEXT_TOOLTIP_LAC_HULL,Hull: 600 (Corvette)
TEXT_TOOLTIP_LAC_MOVE,Speed: 6.65 | Accel: 0.25 | Turn: 0.65
TEXT_TOOLTIP_LAC_PD,Point-Defense: 1 / 0.45s / 1.5km
TEXT_TOOLTIP_LAC_SHIELD,Shields: 450 / [9/R] (Corvette)
TEXT_TOOLTIP_LAC_WEAP1,5x Medium Dual Rapid Laser Cannons: 6 / 5.0s / 3.5km
TEXT_TOOLTIP_MALLAT,An ISB agent still in active service to the Empire by 16ABY. In that same year, he responded to a request from Grand Moff Gann of Sector 5 for information on the Yevetha.
TEXT_TOOLTIP_NTB_630,A relatively popular joint Incom and Subpro design, the NTB-630 would be extensively used in the Clone Wars as a bomber craft focused on killing CIS capital ships. It was essentially a bomber version of the ubiquitous ARC-170 and a more agile and space capable PTB-625. The NTB-630 shares many of the same visual design elements of its sister designs.
TEXT_TOOLTIP_OG9HOMINGSPIDERDROID,A Baktoid-developed droid meant to enforce Commerce Guild whims, its body is little more than a reactor with armor plating and legs. Both anti-infantry and anti-vehicle weapons make this walker a versatile combatant.
TEXT_TOOLTIP_OG9HOMINGSPIDERDROID_COMPANY,Company: 4x OG-9 Homing Spider Droid
TEXT_TOOLTIP_OG9HOMINGSPIDERDROID_HEALTH,Health: 150 (Light Vehicle)
TEXT_TOOLTIP_OG9HOMINGSPIDERDROID_MOVE,Speed: 1.25 | Turn: 4.0
